playlist_title,playlist_ID,video_title,video_ids,video_published
Uploaded Videos,UU57zDQDyO7JGXw1xMkI4ILA,라모스 진피즈 챌린지 / 지목해주신 @요사장TV 님 감사합니다...^^,NvTN0xkWlEc,2022-02-24T12:33:24Z
Uploaded Videos,UU57zDQDyO7JGXw1xMkI4ILA,탱커레이 no.10 활용 / 상큼한 칵테일 만들기🌿,5Ms57bZPqcM,2022-02-20T11:24:29Z
Uploaded Videos,UU57zDQDyO7JGXw1xMkI4ILA,티 리큐르 활용하기🌱 / 녹차&홍차 리큐르,1KpesGaUzaM,2022-02-11T11:13:22Z
Uploaded Videos,UU57zDQDyO7JGXw1xMkI4ILA,새로 산 술 뜯어보기,JGde_Ufv_qI,2022-02-04T09:07:22Z
Uploaded Videos,UU57zDQDyO7JGXw1xMkI4ILA,오렌지 리큐르 특집 / 네 가지 큐라소 칵테일,TsQR5MX7woE,2022-01-29T10:24:23Z
Uploaded Videos,UU57zDQDyO7JGXw1xMkI4ILA,맑고 아름다운 압생트로 만드는 칵테일,r2aSLzsesEU,2022-01-23T12:00:47Z
Uploaded Videos,UU57zDQDyO7JGXw1xMkI4ILA,피트 매니아들 모여모여! 피트 향 가득한 칵테일,j1qM2ogJWrs,2022-01-14T11:31:26Z
Uploaded Videos,UU57zDQDyO7JGXw1xMkI4ILA,가지각색 무지개 칵테일 만들기,azQ89nKo-rE,2022-01-07T09:33:38Z
Uploaded Videos,UU57zDQDyO7JGXw1xMkI4ILA,새해 복 많이 받으세요! 7일7술 / 집에서 해먹은 술 모음 #11,dNlHGKjWWZU,2022-01-01T11:38:16Z
Uploaded Videos,UU57zDQDyO7JGXw1xMkI4ILA,메리크리스마스!!! 출간 기념 이벤트🎄💕,KenoHursSes,2021-12-25T05:17:55Z
Uploaded Videos,UU57zDQDyO7JGXw1xMkI4ILA,"꼭 마셔봐야 하는 위스키 베이스 칵테일, 갓파더 / 쉽고 맛있게 즐기기!",0kkredqf4aY,2021-12-23T09:48:20Z
Uploaded Videos,UU57zDQDyO7JGXw1xMkI4ILA,❄️크리스마스 분위기 나는 칵테일 만들기!🎄,WELbqdkqFxY,2021-12-19T11:53:19Z
Uploaded Videos,UU57zDQDyO7JGXw1xMkI4ILA,보드카 알차게 마시기!,Yo1IhbQdN90,2021-11-30T11:57:14Z
Uploaded Videos,UU57zDQDyO7JGXw1xMkI4ILA,겨울을 위한 따뜻한 칵테일 4가지,J09reqatUY4,2021-11-19T11:19:42Z
Uploaded Videos,UU57zDQDyO7JGXw1xMkI4ILA,구독자분들의 고민과 사연읽고 칵테일 만들기 / 코스터 이벤트,PyCIpgqmeM0,2021-11-12T11:25:02Z
Uploaded Videos,UU57zDQDyO7JGXw1xMkI4ILA,술 못마시는 사람에게 빙의하는 날 / 논알콜 칵테일 #2,h8rDZNB8pr0,2021-11-06T09:26:58Z
Uploaded Videos,UU57zDQDyO7JGXw1xMkI4ILA,최애 칵테일 마가리타 4가지 만들기 / 마가리타 특집!,5vnCRg83p2w,2021-10-29T10:59:11Z
Uploaded Videos,UU57zDQDyO7JGXw1xMkI4ILA,예쁜 핑크자몽 & 피치 칵테일 만들기! (with 볼스),WWndLp9SiNw,2021-10-22T09:23:41Z
Uploaded Videos,UU57zDQDyO7JGXw1xMkI4ILA,오랜만의 7일7술 / 집에서 해먹은 술 모음 #10,bmawWeWFaEE,2021-10-21T13:02:17Z
Uploaded Videos,UU57zDQDyO7JGXw1xMkI4ILA,달콤 쌉싸름한 오렌지 향 술 / 아페롤 / 이달의 술추천 #10,n8qYgQKxv4E,2021-10-09T08:43:28Z
Uploaded Videos,UU57zDQDyO7JGXw1xMkI4ILA,술꾼의 책 추천! / 여덟 가지 책들,DCW_eG0SKTU,2021-10-02T11:17:42Z
Uploaded Videos,UU57zDQDyO7JGXw1xMkI4ILA,포트넘 앤 메이슨의 홍차로 만드는 세 가지 티 칵테일,2Y1UIKmieRU,2021-09-27T08:39:28Z
Uploaded Videos,UU57zDQDyO7JGXw1xMkI4ILA,시원한 뮬 네 가지 만들기!,flaCIDq3SwQ,2021-09-25T13:22:30Z
Uploaded Videos,UU57zDQDyO7JGXw1xMkI4ILA,진 알차게 마시기!,4F7OKLLh05k,2021-09-03T13:01:15Z
Uploaded Videos,UU57zDQDyO7JGXw1xMkI4ILA,여름의 마지막! 새콤달콤 청귤 칵테일 만들기,PIL_c4b2_CU,2021-08-28T08:26:48Z
Uploaded Videos,UU57zDQDyO7JGXw1xMkI4ILA,그린 티 진 피즈 #Shorts,pMZHfgP9ErY,2021-08-26T10:14:46Z
Uploaded Videos,UU57zDQDyO7JGXw1xMkI4ILA,최애 칵테일 마티니 6가지 만들기! / 마티니 특집🍸,9sMKQWJFcBI,2021-08-21T12:47:39Z
Uploaded Videos,UU57zDQDyO7JGXw1xMkI4ILA,하이볼로 보내는 무더운 여름,lm1dlq9b8sI,2021-08-13T11:13:32Z
Uploaded Videos,UU57zDQDyO7JGXw1xMkI4ILA,진&바질&민트스매시 #Shorts,9Zw_ViTTU7Y,2021-08-09T09:50:38Z
Uploaded Videos,UU57zDQDyO7JGXw1xMkI4ILA,"질문과 답변 #2 / 술 관리, 칵테일 레시피, 집에 있는 술장 함께 보기",X3DfaISAycc,2021-08-07T13:05:44Z
Uploaded Videos,UU57zDQDyO7JGXw1xMkI4ILA,"기초 질문과 답변 #1 / 꼭 필요한 도구&잔, 시럽, 가니쉬, 술&비터 / 도구와 재료",sms8F1djTXQ,2021-08-03T13:22:18Z
Uploaded Videos,UU57zDQDyO7JGXw1xMkI4ILA,푸릇푸릇 싱그러운 칵테일 만들기🌿,4Pqm1KgYtXU,2021-07-29T13:13:15Z
Uploaded Videos,UU57zDQDyO7JGXw1xMkI4ILA,알록달록한 트로피컬 칵테일 만들기🍹,u4BMxqw-AIk,2021-07-25T12:04:11Z
Uploaded Videos,UU57zDQDyO7JGXw1xMkI4ILA,휴양지 느낌 칵테일 / 바베이도스 서프라이즈 #Shorts,1T-iDBsKohY,2021-07-22T10:19:48Z
Uploaded Videos,UU57zDQDyO7JGXw1xMkI4ILA,달콤한 복숭아 맛 가득!🍑 피치트리를 활용한 칵테일 5가지,CCKd85lojPo,2021-07-20T12:51:30Z
Uploaded Videos,UU57zDQDyO7JGXw1xMkI4ILA,카이피리냐 만들기 #Shorts,QLsUN-1gDC8,2021-07-15T11:32:23Z
Uploaded Videos,UU57zDQDyO7JGXw1xMkI4ILA,🥃 올드패션드 네가지 만들기,olduOPRWUQM,2021-07-14T12:07:59Z
Uploaded Videos,UU57zDQDyO7JGXw1xMkI4ILA,주류박람회에 다녀 왔어요,gzv8fo55HNk,2021-07-06T11:25:54Z
Uploaded Videos,UU57zDQDyO7JGXw1xMkI4ILA,취향존중이 필요한 칵테일 #2,3eGUAtOvdOc,2021-06-26T12:06:26Z
