video_title,video_ids,commentCount,viewCount,favoriteCount,likeCount
라모스 진피즈 챌린지 / 지목해주신 @요사장TV 님 감사합니다...^^,NvTN0xkWlEc,56,4545,0,201
탱커레이 no.10 활용 / 상큼한 칵테일 만들기🌿,5Ms57bZPqcM,77,9210,0,359
티 리큐르 활용하기🌱 / 녹차&홍차 리큐르,1KpesGaUzaM,37,4801,0,191
새로 산 술 뜯어보기,JGde_Ufv_qI,73,5359,0,205
오렌지 리큐르 특집 / 네 가지 큐라소 칵테일,TsQR5MX7woE,33,7995,0,233
맑고 아름다운 압생트로 만드는 칵테일,r2aSLzsesEU,26,5456,0,200
피트 매니아들 모여모여! 피트 향 가득한 칵테일,j1qM2ogJWrs,63,8114,0,268
가지각색 무지개 칵테일 만들기,azQ89nKo-rE,37,7833,0,305
새해 복 많이 받으세요! 7일7술 / 집에서 해먹은 술 모음 #11,dNlHGKjWWZU,67,6829,0,276
메리크리스마스!!! 출간 기념 이벤트🎄💕,KenoHursSes,132,5445,0,296
"꼭 마셔봐야 하는 위스키 베이스 칵테일, 갓파더 / 쉽고 맛있게 즐기기!",0kkredqf4aY,53,10721,0,300
❄️크리스마스 분위기 나는 칵테일 만들기!🎄,WELbqdkqFxY,48,10335,0,403
보드카 알차게 마시기!,Yo1IhbQdN90,55,14605,0,478
겨울을 위한 따뜻한 칵테일 4가지,J09reqatUY4,43,8810,0,391
구독자분들의 고민과 사연읽고 칵테일 만들기 / 코스터 이벤트,PyCIpgqmeM0,30,3815,0,141
술 못마시는 사람에게 빙의하는 날 / 논알콜 칵테일 #2,h8rDZNB8pr0,30,9429,0,351
최애 칵테일 마가리타 4가지 만들기 / 마가리타 특집!,5vnCRg83p2w,38,7857,0,252
예쁜 핑크자몽 & 피치 칵테일 만들기! (with 볼스),WWndLp9SiNw,35,9299,0,352
오랜만의 7일7술 / 집에서 해먹은 술 모음 #10,bmawWeWFaEE,50,6492,0,256
달콤 쌉싸름한 오렌지 향 술 / 아페롤 / 이달의 술추천 #10,n8qYgQKxv4E,20,6062,0,236
술꾼의 책 추천! / 여덟 가지 책들,DCW_eG0SKTU,37,5236,0,310
포트넘 앤 메이슨의 홍차로 만드는 세 가지 티 칵테일,2Y1UIKmieRU,34,7572,0,379
시원한 뮬 네 가지 만들기!,flaCIDq3SwQ,62,9640,0,306
진 알차게 마시기!,4F7OKLLh05k,97,16766,0,524
여름의 마지막! 새콤달콤 청귤 칵테일 만들기,PIL_c4b2_CU,29,7654,0,267
그린 티 진 피즈 #Shorts,pMZHfgP9ErY,9,7477,0,266
최애 칵테일 마티니 6가지 만들기! / 마티니 특집🍸,9sMKQWJFcBI,81,16464,0,427
하이볼로 보내는 무더운 여름,lm1dlq9b8sI,121,12410,0,433
진&바질&민트스매시 #Shorts,9Zw_ViTTU7Y,11,6999,0,282
"질문과 답변 #2 / 술 관리, 칵테일 레시피, 집에 있는 술장 함께 보기",X3DfaISAycc,69,10287,0,360
"기초 질문과 답변 #1 / 꼭 필요한 도구&잔, 시럽, 가니쉬, 술&비터 / 도구와 재료",sms8F1djTXQ,107,15080,0,677
푸릇푸릇 싱그러운 칵테일 만들기🌿,4Pqm1KgYtXU,49,8272,0,296
알록달록한 트로피컬 칵테일 만들기🍹,u4BMxqw-AIk,80,21057,0,679
휴양지 느낌 칵테일 / 바베이도스 서프라이즈 #Shorts,1T-iDBsKohY,31,22831,0,1106
달콤한 복숭아 맛 가득!🍑 피치트리를 활용한 칵테일 5가지,CCKd85lojPo,82,24734,0,845
카이피리냐 만들기 #Shorts,QLsUN-1gDC8,25,12704,0,432
🥃 올드패션드 네가지 만들기,olduOPRWUQM,65,17306,0,501
주류박람회에 다녀 왔어요,gzv8fo55HNk,33,5503,0,170
취향존중이 필요한 칵테일 #2,3eGUAtOvdOc,91,11643,0,348
🥂화이트와인으로 네가지 칵테일 만들기!,uC1JI2yJyQI,45,7404,0,248
헤이먼스 진 4종 리뷰 / 이달의 술추천 #9,xH7yOILktZk,81,8375,0,293
내 MBTI 성격유형에 맞는 칵테일 찾기!,eiyEbeZgqmE,88,12355,0,327
예쁜 얼음 얼리기 / 얼음 영상 #2,pKe8EflrJwI,79,14891,0,416
술 + 쉬이이이원한 탄산은 못참지 (with 싱하소다워터),WQjnhpVMe54,56,8129,0,273
촬영 전날 조용히 칵테일 만들어보는 영상 / 더빙x,RUm6MDFu470,57,5262,0,174
피스코 / 이달의 술추천 #8,duNq0mNNwAc,39,6259,0,205
위스키 입문용으로 강추! 글렌리벳 12년 / 함께 알아보는 위스키 #1,BiLHoo2sgSE,45,9186,0,274
맛있는 안주와 술🤤 / 집에서 해먹은 술 모음 #9,lAk5yD1MUqE,93,6607,0,141
🍓 딸기를 잔뜩 마시자! / 딸기 칵테일 5가지,ixsAYP7B3xM,98,17808,0,527
칵테일 만들 때 자주 쓰는 잔들을 소개합니다!,nLdDkg0NDxY,84,12931,0,478
라거? 에일? 내 최애 맥주는? / 와인앤모어 맥주 리뷰 #1,NvTN0xkWlEc,42,4220,0,158
화요로 만드는 네가지 간단칵테일!,5Ms57bZPqcM,95,19399,0,496
술...그리고 안주..⭐️ / 집에서 해먹은 술 모음 #8,1KpesGaUzaM,143,11252,0,330
새로운 싱글톤으로 두 가지 칵테일 만들기! / 색다른 안주와 함께 즐기자,JGde_Ufv_qI,56,7841,0,217
사워 특집 / 네 가지 사워 만들기,TsQR5MX7woE,92,10094,0,317
